,SubjectID,context,speaker,meanACC,meanRT,Hits,FAlarms,miss,cr,n,pH,pFA,dprime,pair,pu,vvl,cloze
1,200,Initial,L2,0.964285714,986.5875,4,0,1,23,28,0.8,0.0135,3.053139043,Ah,control,ccontrol,0.416666667
2,200,Medial,L2,0.9375,941.9665625,3,1,1,27,32,0.75,0.035714286,2.477232841,Ah,control,ccontrol,0.416666667
3,200,Final,L2,0.944444444,1036.733333,2,2,0,32,36,0.875,0.058823529,2.715075852,Ah,control,ccontrol,0.416666667
4,200,Initial,L2,1,1008.408333,4,0,0,26,30,0.875,0.0135,3.36186719,qs,control,ccontrol,0.416666667
5,200,Medial,L2,1,1054.064688,4,0,0,28,32,0.875,0.0135,3.36186719,qs,control,ccontrol,0.416666667
6,200,Final,L2,1,1020.218529,4,0,0,30,34,0.875,0.0135,3.36186719,qs,control,ccontrol,0.416666667
7,200,Initial,L2,0.857142857,850.4507143,0,2,0,12,14,NA,0.142857143,NA,Az,control,ccontrol,0.416666667
8,200,Initial,L2,0.833333333,978.8266667,0,4,1,25,30,0.125,0.137931034,-0.060687398,Hx,control,voiceless,0.416666667
9,200,Initial,L2,0.966666667,1010.773,4,0,1,25,30,0.8,0.0135,3.053139043,sx,control,ccontrol,0.416666667
10,200,Medial,L2,0.96875,996.1946875,4,0,1,27,32,0.8,0.0135,3.053139043,sx,control,ccontrol,0.416666667
11,200,Final,L2,0.970588235,1122.938235,4,0,1,29,34,0.8,0.0135,3.053139043,sx,control,ccontrol,0.416666667
12,200,Initial,L2,1,982.7842857,0,0,0,14,14,NA,0.0135,NA,Hr,control,ccontrol,0.416666667
13,200,Initial,L2,0.964285714,929.5128571,4,0,1,23,28,0.8,0.0135,3.053139043,qx,control,ccontrol,0.416666667
14,200,Medial,L2,0.90625,1022.584063,2,2,1,27,32,0.666666667,0.068965517,1.914267159,qx,control,ccontrol,0.416666667
15,200,Final,L2,0.972222222,1096.113889,4,0,1,31,36,0.8,0.0135,3.053139043,qx,control,ccontrol,0.416666667
16,200,Initial,L2,0.961538462,1041.018077,0,0,1,25,26,0.125,0.0135,1.061168429,hH,control,ccontrol,0.416666667
17,200,Initial,L2,0.916666667,1108.9575,0,0,1,11,12,0.125,0.0135,1.061168429,hz,control,ccontrol,0.416666667
18,200,Medial,L2,0.9,969.734,2,0,3,25,30,0.4,0.0135,1.958170706,hz,control,ccontrol,0.416666667
19,200,Final,L2,0.9375,1043.626563,2,0,2,28,32,0.5,0.0135,2.211517809,hz,control,ccontrol,0.416666667
20,200,Initial,L2,1,876.0417857,4,0,0,24,28,0.875,0.0135,3.36186719,AR,control,voiced,0.416666667
