,Item,SubjectID,RT,ACC,spkr,correct_response,confusable,word1,word2,gender_order,context,phoneme_pair_ordered,phoneme_pair,pu,vvl,list
1,101,202,899.43,1,L2,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
2,101,202,580.5,1,L2,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
3,101,210,801.22,1,L2,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
4,101,212,604.69,1,L2,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
5,101,210,844.89,1,L2,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
6,101,255,1128.32,1,NS,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
7,101,255,921.13,1,NS,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
8,101,206,804.77,1,L2,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
9,101,214,776.2,1,L2,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
10,101,200,1456.02,1,L2,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
11,101,257,1066.73,1,NS,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
12,101,214,948.25,1,L2,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
13,101,259,757.75,1,NS,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
14,101,253,1221.14,1,NS,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
15,101,204,1155.56,1,L2,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
16,101,204,1378.83,1,L2,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
17,101,251,733.41,1,NS,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
18,101,216,1011.77,1,L2,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
19,101,208,668.67,1,L2,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
20,101,262,851.55,1,NS,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
21,101,253,1531.72,1,NS,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
22,101,206,1091.78,1,L2,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
23,101,259,1401.7,1,NS,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
24,101,261,955.49,1,NS,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
25,101,216,689.65,1,L2,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
26,101,218,588.95,1,L2,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
27,101,261,1432.72,1,NS,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
28,101,262,331.81,1,NS,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
29,101,212,648.42,1,L2,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
30,101,251,1443.68,1,NS,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
31,101,208,789.91,1,L2,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
32,101,257,970.53,1,NS,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
33,101,218,1294.48,1,L2,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
34,101,200,1064.18,1,L2,0,Y,4905,4004,mf,I,A-h-,A-h-,p,0,a
35,102,214,1748.37,0,L2,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
36,102,200,866.19,1,L2,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
37,102,253,1093.65,1,NS,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
38,102,204,1326.95,1,L2,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
39,102,218,1009.42,1,L2,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
40,102,251,951.69,1,NS,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
41,102,206,1004.18,1,L2,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
42,102,218,915.91,1,L2,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
43,102,202,793.36,1,L2,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
44,102,204,1400.22,1,L2,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
45,102,261,638.72,1,NS,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
46,102,208,886.48,1,L2,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
47,102,259,998.94,1,NS,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
48,102,208,1002.22,1,L2,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
49,102,255,805.86,1,NS,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
50,102,210,805.7,1,L2,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
51,102,212,593.57,1,L2,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
52,102,253,893.38,1,NS,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
53,102,257,1161.21,1,NS,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
54,102,202,1067.14,1,L2,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
55,102,210,776.97,1,L2,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
56,102,206,805.6,1,L2,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
57,102,216,758.05,0,L2,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
58,102,212,677.9,1,L2,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
59,102,255,1128.46,1,NS,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
60,102,261,1072.76,1,NS,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
61,102,259,784.74,1,NS,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
62,102,214,1127.57,1,L2,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
63,102,262,1135.49,1,NS,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
64,102,257,663.88,1,NS,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
65,102,251,1391.52,1,NS,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
66,102,216,721.1,1,L2,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
67,102,200,887.89,1,L2,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
68,102,262,1617.07,0,NS,0,Y,4004,4905,mf,I,h-A-,A-h-,p,0,a
69,103,259,1236.39,1,NS,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
70,103,212,1022.45,1,L2,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
71,103,253,873.63,1,NS,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
72,103,214,762.99,1,L2,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
73,103,206,631.21,1,L2,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
74,103,214,854.66,1,L2,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
75,103,216,771.45,1,L2,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
76,103,202,809.78,0,L2,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
77,103,208,835.18,1,L2,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
78,103,257,1849.45,0,NS,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
79,103,210,981.41,1,L2,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
80,103,261,885.03,1,NS,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
81,103,200,1149.38,1,L2,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
82,103,253,594.93,1,NS,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
83,103,257,1317.14,0,NS,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
84,103,208,996.37,1,L2,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
85,103,262,805.36,0,NS,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
86,103,210,697.17,0,L2,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
87,103,259,1154.11,1,NS,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
88,103,216,595.48,1,L2,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
89,103,204,1065.38,1,L2,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
90,103,251,1439.34,0,NS,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
91,103,200,889.97,1,L2,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
92,103,251,1056.11,1,NS,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
93,103,202,724.81,0,L2,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
94,103,204,1857.78,0,L2,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
95,103,218,1241.51,1,L2,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
96,103,255,860.19,1,NS,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
97,103,262,1005.46,1,NS,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
98,103,261,1373.72,1,NS,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
99,103,212,646.1,1,L2,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
100,103,255,936.89,1,NS,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
101,103,218,888.18,1,L2,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
102,103,206,1228.12,0,L2,0,Y,4804,4705,fm,I,Rx,Rx,u,0,a
103,104,262,1748.09,1,NS,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
104,104,261,1983.37,1,NS,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
105,104,212,1024.77,1,L2,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
106,104,204,1289.98,1,L2,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
107,104,253,1113.38,0,NS,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
108,104,216,941.18,1,L2,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
109,104,202,812.12,1,L2,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
110,104,255,1386.66,1,NS,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
111,104,251,1139.16,1,NS,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
112,104,259,1044.38,1,NS,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
113,104,206,1097.25,0,L2,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
114,104,202,899.77,0,L2,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
115,104,208,801.07,1,L2,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
116,104,262,1301.5,1,NS,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
117,104,257,1991.39,1,NS,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
118,104,210,1136.26,1,L2,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
119,104,253,629.12,1,NS,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
120,104,257,1092.46,1,NS,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
121,104,212,926.4,1,L2,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
122,104,200,1128.1,1,L2,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
123,104,214,694.11,1,L2,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
124,104,259,1519.88,1,NS,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
125,104,206,1546.59,1,L2,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
126,104,214,696.27,1,L2,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
127,104,208,1128.21,0,L2,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
128,104,218,741.66,1,L2,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
129,104,261,1009.78,1,NS,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
130,104,255,1153.91,1,NS,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
131,104,216,693.75,1,L2,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
132,104,210,1008.31,1,L2,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
133,104,218,752.51,1,L2,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
134,104,200,1161.55,1,L2,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
135,104,204,1239.97,0,L2,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
136,104,251,1194.21,1,NS,0,Y,4705,4804,fm,I,xR,Rx,u,0,a
