"","SubjectID","context","phoneme_pair","max"
"1",200,"F","AA",16
"2",200,"F","Ah",4
"3",200,"F","AH",4
"4",200,"F","Aq",4
"5",200,"F","AR",4
"6",200,"F","As",4
"7",200,"F","Ax",4
"8",200,"F","Az",4
"9",200,"F","hh",16
"10",200,"F","hH",4
"11",200,"F","HH",14
"12",200,"F","hq",4
"13",200,"F","Hq",4
"14",200,"F","hR",2
"15",200,"F","HR",6
"16",200,"F","hs",4
"17",200,"F","Hs",4
"18",200,"F","hx",4
"19",200,"F","Hx",4
"20",200,"F","hz",2
"21",200,"F","Hz",6
"22",200,"F","qq",16
"23",200,"F","qR",4
"24",200,"F","qs",4
"25",200,"F","qx",4
"26",200,"F","qz",4
"27",200,"F","RR",16
"28",200,"F","Rs",4
"29",200,"F","Rx",4
"30",200,"F","Rz",4
"31",200,"F","ss",14
"32",200,"F","sx",4
"33",200,"F","sz",4
"34",200,"F","xx",16
"35",200,"F","xz",4
"36",200,"F","zz",14
"37",200,"I","AA",12
"38",200,"I","Ah",4
"39",200,"I","AH",4
"40",200,"I","Aq",4
"41",200,"I","AR",4
"42",200,"I","As",4
"43",200,"I","Ax",4
"44",200,"I","Az",4
"45",200,"I","hh",12
"46",200,"I","hH",4
"47",200,"I","HH",14
"48",200,"I","hq",2
"49",200,"I","Hq",6
"50",200,"I","hR",4
"51",200,"I","HR",4
"52",200,"I","hs",4
"53",200,"I","Hs",4
"54",200,"I","hx",4
"55",200,"I","Hx",4
"56",200,"I","hz",2
"57",200,"I","Hz",6
"58",200,"I","qq",12
"59",200,"I","qR",4
"60",200,"I","qs",4
"61",200,"I","qx",4
"62",200,"I","qz",4
"63",200,"I","RR",12
"64",200,"I","Rs",4
"65",200,"I","Rx",4
"66",200,"I","Rz",4
"67",200,"I","ss",14
"68",200,"I","sx",4
"69",200,"I","sz",4
"70",200,"I","xx",12
"71",200,"I","xz",4
"72",200,"I","zz",14
"73",200,"M","AA",14
"74",200,"M","Ah",4
"75",200,"M","AH",4
"76",200,"M","Aq",4
"77",200,"M","AR",4
"78",200,"M","As",4
"79",200,"M","Ax",4
"80",200,"M","Az",4
"81",200,"M","hh",14
"82",200,"M","hH",4
"83",200,"M","HH",14
"84",200,"M","hq",2
"85",200,"M","Hq",6
"86",200,"M","hR",4
"87",200,"M","HR",4
"88",200,"M","hs",4
"89",200,"M","Hs",4
"90",200,"M","hx",4
"91",200,"M","Hx",4
"92",200,"M","hz",2
"93",200,"M","Hz",6
"94",200,"M","qq",14
"95",200,"M","qR",4
"96",200,"M","qs",4
"97",200,"M","qx",4
"98",200,"M","qz",4
"99",200,"M","RR",14
"100",200,"M","Rs",4
"101",200,"M","Rx",4
"102",200,"M","Rz",4
"103",200,"M","ss",14
"104",200,"M","sx",4
"105",200,"M","sz",4
"106",200,"M","xx",14
"107",200,"M","xz",4
"108",200,"M","zz",14
"109",201,"F","AA",16
"110",201,"F","Ah",4
"111",201,"F","AH",4
"112",201,"F","Aq",4
"113",201,"F","AR",4
"114",201,"F","As",4
"115",201,"F","Ax",4
"116",201,"F","Az",4
"117",201,"F","hh",16
"118",201,"F","hH",4
"119",201,"F","HH",14
"120",201,"F","hq",4
"121",201,"F","Hq",4
"122",201,"F","hR",2
"123",201,"F","HR",6
"124",201,"F","hs",4
"125",201,"F","Hs",4
"126",201,"F","hx",4
"127",201,"F","Hx",4
"128",201,"F","hz",2
"129",201,"F","Hz",6
"130",201,"F","qq",16
"131",201,"F","qR",4
"132",201,"F","qs",4
